,ZIP,MsaName,2015-12,2019-12,2022-03,City,State
12,94109,"San Francisco, CA",3102.0,3082.0,2793.0,San Francisco,CA
18,90250,"Los Angeles-Long Beach-Anaheim, CA",1211.0,1647.0,1850.0,Los Angeles-Long Beach-Anaheim,CA
35,94565,"San Francisco, CA",1567.0,2065.0,2415.0,San Francisco,CA
37,90046,"Los Angeles-Long Beach-Anaheim, CA",2158.0,2534.0,2750.0,Los Angeles-Long Beach-Anaheim,CA
74,94501,"San Francisco, CA",2080.0,2343.0,2543.0,San Francisco,CA
78,94110,"San Francisco, CA",4055.0,4115.0,3638.0,San Francisco,CA
83,90034,"Los Angeles-Long Beach-Anaheim, CA",1875.0,2341.0,2459.0,Los Angeles-Long Beach-Anaheim,CA
87,95630,"Sacramento, CA",1686.0,2045.0,2455.0,Sacramento,CA
91,90805,"Los Angeles-Long Beach-Anaheim, CA",1301.0,1732.0,1960.0,Los Angeles-Long Beach-Anaheim,CA
93,90650,"Los Angeles-Long Beach-Anaheim, CA",1910.0,2302.0,2597.0,Los Angeles-Long Beach-Anaheim,CA
95,92683,"Los Angeles-Long Beach-Anaheim, CA",1981.0,2333.0,2839.0,Los Angeles-Long Beach-Anaheim,CA
104,91709,"Riverside, CA",2168.0,2378.0,3068.0,Riverside,CA
108,90026,"Los Angeles-Long Beach-Anaheim, CA",2097.0,2501.0,2688.0,Los Angeles-Long Beach-Anaheim,CA
110,91910,"San Diego, CA",1819.0,2182.0,2675.0,San Diego,CA
125,95608,"Sacramento, CA",1096.0,1515.0,1871.0,Sacramento,CA
128,92677,"Los Angeles-Long Beach-Anaheim, CA",2183.0,2447.0,3133.0,Los Angeles-Long Beach-Anaheim,CA
131,90066,"Los Angeles-Long Beach-Anaheim, CA",2203.0,2585.0,2675.0,Los Angeles-Long Beach-Anaheim,CA
136,92336,"Riverside, CA",2012.0,2370.0,3185.0,Riverside,CA
140,95823,"Sacramento, CA",1297.0,1697.0,2233.0,Sacramento,CA
141,92345,"Riverside, CA",1081.0,1369.0,1861.0,Riverside,CA
147,95747,"Sacramento, CA",1822.0,2143.0,2581.0,Sacramento,CA
150,92804,"Los Angeles-Long Beach-Anaheim, CA",1558.0,1840.0,2166.0,Los Angeles-Long Beach-Anaheim,CA
152,92126,"San Diego, CA",1797.0,2213.0,2736.0,San Diego,CA
161,92101,"San Diego, CA",2190.0,2409.0,2857.0,San Diego,CA
162,90019,"Los Angeles-Long Beach-Anaheim, CA",2099.0,2576.0,2738.0,Los Angeles-Long Beach-Anaheim,CA
170,94536,"San Francisco, CA",2497.0,2762.0,2971.0,San Francisco,CA
173,92592,"Riverside, CA",1882.0,2211.0,2912.0,Riverside,CA
180,91730,"Riverside, CA",1825.0,2079.0,2812.0,Riverside,CA
182,90004,"Los Angeles-Long Beach-Anaheim, CA",1633.0,1906.0,2092.0,Los Angeles-Long Beach-Anaheim,CA
184,92109,"San Diego, CA",1762.0,2247.0,2747.0,San Diego,CA
197,90706,"Los Angeles-Long Beach-Anaheim, CA",1504.0,1915.0,2252.0,Los Angeles-Long Beach-Anaheim,CA
198,95123,"San Jose, CA",2323.0,2672.0,3009.0,San Jose,CA
199,92021,"San Diego, CA",1376.0,1726.0,2164.0,San Diego,CA
210,92627,"Los Angeles-Long Beach-Anaheim, CA",2134.0,2477.0,3015.0,Los Angeles-Long Beach-Anaheim,CA
216,90025,"Los Angeles-Long Beach-Anaheim, CA",2416.0,2870.0,2984.0,Los Angeles-Long Beach-Anaheim,CA
223,91710,"Riverside, CA",2005.0,2260.0,2881.0,Riverside,CA
237,90027,"Los Angeles-Long Beach-Anaheim, CA",1829.0,2173.0,2348.0,Los Angeles-Long Beach-Anaheim,CA
241,94568,"San Francisco, CA",2611.0,2770.0,3008.0,San Francisco,CA
243,95051,"San Jose, CA",2699.0,2946.0,3056.0,San Jose,CA
244,91335,"Los Angeles-Long Beach-Anaheim, CA",2074.0,2487.0,2958.0,Los Angeles-Long Beach-Anaheim,CA
248,90731,"Los Angeles-Long Beach-Anaheim, CA",1601.0,2043.0,2377.0,Los Angeles-Long Beach-Anaheim,CA
258,93550,"Los Angeles-Long Beach-Anaheim, CA",1246.0,1793.0,2270.0,Los Angeles-Long Beach-Anaheim,CA
259,93536,"Los Angeles-Long Beach-Anaheim, CA",1495.0,1945.0,2465.0,Los Angeles-Long Beach-Anaheim,CA
266,92630,"Los Angeles-Long Beach-Anaheim, CA",1851.0,2083.0,2726.0,Los Angeles-Long Beach-Anaheim,CA
269,94509,"San Francisco, CA",1722.0,2271.0,2680.0,San Francisco,CA
270,95758,"Sacramento, CA",1544.0,1911.0,2456.0,Sacramento,CA
271,93306,"Bakersfield, CA",1013.0,1160.0,1573.0,Bakersfield,CA
278,93535,"Los Angeles-Long Beach-Anaheim, CA",1474.0,2066.0,2608.0,Los Angeles-Long Beach-Anaheim,CA
280,94122,"San Francisco, CA",2935.0,3262.0,3193.0,San Francisco,CA
303,93309,"Bakersfield, CA",917.0,1080.0,1459.0,Bakersfield,CA
311,94541,"San Francisco, CA",1936.0,2398.0,2490.0,San Francisco,CA
312,94538,"San Francisco, CA",2479.0,2669.0,2916.0,San Francisco,CA
315,90802,"Los Angeles-Long Beach-Anaheim, CA",1784.0,2293.0,2628.0,Los Angeles-Long Beach-Anaheim,CA
319,94513,"San Francisco, CA",2315.0,2802.0,3339.0,San Francisco,CA
323,90631,"Los Angeles-Long Beach-Anaheim, CA",1824.0,2113.0,2615.0,Los Angeles-Long Beach-Anaheim,CA
325,92104,"San Diego, CA",1568.0,1929.0,2357.0,San Diego,CA
329,92647,"Los Angeles-Long Beach-Anaheim, CA",1876.0,2142.0,2750.0,Los Angeles-Long Beach-Anaheim,CA
334,92154,"San Diego, CA",1863.0,2122.0,2605.0,San Diego,CA
340,92618,"Los Angeles-Long Beach-Anaheim, CA",2230.0,2453.0,3150.0,Los Angeles-Long Beach-Anaheim,CA
342,92115,"San Diego, CA",1879.0,2414.0,2916.0,San Diego,CA
349,94587,"San Francisco, CA",2236.0,2441.0,2625.0,San Francisco,CA
356,92646,"Los Angeles-Long Beach-Anaheim, CA",2451.0,2836.0,3351.0,Los Angeles-Long Beach-Anaheim,CA
360,92620,"Los Angeles-Long Beach-Anaheim, CA",2347.0,2573.0,3241.0,Los Angeles-Long Beach-Anaheim,CA
371,95014,"San Jose, CA",3097.0,3385.0,3500.0,San Jose,CA
373,92376,"Riverside, CA",1518.0,1888.0,2490.0,Riverside,CA
381,92648,"Los Angeles-Long Beach-Anaheim, CA",2251.0,2649.0,3187.0,Los Angeles-Long Beach-Anaheim,CA
382,92130,"San Diego, CA",2663.0,2971.0,3792.0,San Diego,CA
386,92122,"San Diego, CA",1928.0,2360.0,3065.0,San Diego,CA
398,92563,"Riverside, CA",1660.0,1987.0,2696.0,Riverside,CA
403,90036,"Los Angeles-Long Beach-Anaheim, CA",2560.0,2968.0,3270.0,Los Angeles-Long Beach-Anaheim,CA
415,95125,"San Jose, CA",2898.0,3230.0,3326.0,San Jose,CA
426,92562,"Riverside, CA",1631.0,1886.0,2533.0,Riverside,CA
438,92117,"San Diego, CA",1809.0,2302.0,2943.0,San Diego,CA
443,94086,"San Jose, CA",2792.0,3130.0,3231.0,San Jose,CA
451,92128,"San Diego, CA",1947.0,2260.0,2889.0,San Diego,CA
454,91801,"Los Angeles-Long Beach-Anaheim, CA",1774.0,2184.0,2524.0,Los Angeles-Long Beach-Anaheim,CA
466,92805,"Los Angeles-Long Beach-Anaheim, CA",1933.0,2254.0,2679.0,Los Angeles-Long Beach-Anaheim,CA
467,90042,"Los Angeles-Long Beach-Anaheim, CA",1999.0,2412.0,2669.0,Los Angeles-Long Beach-Anaheim,CA
471,92020,"San Diego, CA",1298.0,1526.0,1914.0,San Diego,CA
478,92882,"Riverside, CA",1688.0,1913.0,2550.0,Riverside,CA
499,92656,"Los Angeles-Long Beach-Anaheim, CA",2090.0,2363.0,3023.0,Los Angeles-Long Beach-Anaheim,CA
500,92056,"San Diego, CA",1645.0,1958.0,2525.0,San Diego,CA
507,92071,"San Diego, CA",1778.0,2142.0,2736.0,San Diego,CA
509,92626,"Los Angeles-Long Beach-Anaheim, CA",2034.0,2267.0,2750.0,Los Angeles-Long Beach-Anaheim,CA
511,95624,"Sacramento, CA",1537.0,1987.0,2574.0,Sacramento,CA
520,92024,"San Diego, CA",2583.0,2922.0,3834.0,San Diego,CA
529,92880,"Riverside, CA",2067.0,2402.0,2983.0,Riverside,CA
542,92223,"Riverside, CA",1656.0,1995.0,2497.0,Riverside,CA
550,95020,"San Jose, CA",2216.0,2608.0,2958.0,San Jose,CA
559,90028,"Los Angeles-Long Beach-Anaheim, CA",2298.0,2594.0,2755.0,Los Angeles-Long Beach-Anaheim,CA
561,94115,"San Francisco, CA",3617.0,3513.0,3315.0,San Francisco,CA
562,92234,"Riverside, CA",1479.0,1786.0,2668.0,Riverside,CA
565,91786,"Riverside, CA",1604.0,1962.0,2453.0,Riverside,CA
585,90024,"Los Angeles-Long Beach-Anaheim, CA",3000.0,3532.0,3881.0,Los Angeles-Long Beach-Anaheim,CA
587,92057,"San Diego, CA",1920.0,2311.0,2940.0,San Diego,CA
610,92708,"Los Angeles-Long Beach-Anaheim, CA",1947.0,2195.0,2728.0,Los Angeles-Long Beach-Anaheim,CA
611,93063,"Ventura, CA",1965.0,2462.0,2780.0,Ventura,CA
613,92103,"San Diego, CA",1929.0,2273.0,2685.0,San Diego,CA
633,91402,"Los Angeles-Long Beach-Anaheim, CA",1119.0,1588.0,1762.0,Los Angeles-Long Beach-Anaheim,CA
639,94117,"San Francisco, CA",3269.0,3510.0,3553.0,San Francisco,CA
644,92507,"Riverside, CA",1316.0,1841.0,2431.0,Riverside,CA
650,92037,"San Diego, CA",2546.0,3082.0,4035.0,San Diego,CA
651,91367,"Los Angeles-Long Beach-Anaheim, CA",2056.0,2412.0,2801.0,Los Angeles-Long Beach-Anaheim,CA
656,95207,"Stockton, CA",940.0,1372.0,1798.0,Stockton,CA
659,95831,"Sacramento, CA",1291.0,1762.0,2156.0,Sacramento,CA
667,95828,"Sacramento, CA",1506.0,1873.0,2313.0,Sacramento,CA
668,91406,"Los Angeles-Long Beach-Anaheim, CA",1929.0,2268.0,2616.0,Los Angeles-Long Beach-Anaheim,CA
671,90049,"Los Angeles-Long Beach-Anaheim, CA",2789.0,3329.0,3562.0,Los Angeles-Long Beach-Anaheim,CA
674,90020,"Los Angeles-Long Beach-Anaheim, CA",1441.0,1772.0,1921.0,Los Angeles-Long Beach-Anaheim,CA
685,90277,"Los Angeles-Long Beach-Anaheim, CA",2323.0,2741.0,3169.0,Los Angeles-Long Beach-Anaheim,CA
687,92780,"Los Angeles-Long Beach-Anaheim, CA",1687.0,1956.0,2483.0,Los Angeles-Long Beach-Anaheim,CA
688,94611,"San Francisco, CA",2596.0,2773.0,2863.0,San Francisco,CA
689,92404,"Riverside, CA",1075.0,1434.0,1742.0,Riverside,CA
694,91762,"Riverside, CA",1449.0,1821.0,2384.0,Riverside,CA
700,94550,"San Francisco, CA",2253.0,2559.0,2843.0,San Francisco,CA
713,92078,"San Diego, CA",2013.0,2249.0,2956.0,San Diego,CA
714,95610,"Sacramento, CA",1119.0,1394.0,1791.0,Sacramento,CA
715,90813,"Los Angeles-Long Beach-Anaheim, CA",1013.0,1407.0,1616.0,Los Angeles-Long Beach-Anaheim,CA
718,91761,"Riverside, CA",1605.0,1894.0,2478.0,Riverside,CA
719,90803,"Los Angeles-Long Beach-Anaheim, CA",1645.0,1921.0,2217.0,Los Angeles-Long Beach-Anaheim,CA
721,90503,"Los Angeles-Long Beach-Anaheim, CA",1917.0,2182.0,2475.0,Los Angeles-Long Beach-Anaheim,CA
726,91601,"Los Angeles-Long Beach-Anaheim, CA",1922.0,2422.0,2630.0,Los Angeles-Long Beach-Anaheim,CA
737,94118,"San Francisco, CA",3174.0,3380.0,3241.0,San Francisco,CA
738,94546,"San Francisco, CA",2651.0,3009.0,3055.0,San Francisco,CA
739,91702,"Los Angeles-Long Beach-Anaheim, CA",1806.0,2144.0,2475.0,Los Angeles-Long Beach-Anaheim,CA
744,95678,"Sacramento, CA",1497.0,1830.0,2319.0,Sacramento,CA
745,92692,"Los Angeles-Long Beach-Anaheim, CA",2128.0,2357.0,3053.0,Los Angeles-Long Beach-Anaheim,CA
753,94403,"San Francisco, CA",2937.0,3272.0,3267.0,San Francisco,CA
761,92114,"San Diego, CA",1421.0,1745.0,2094.0,San Diego,CA
778,90630,"Los Angeles-Long Beach-Anaheim, CA",2036.0,2465.0,2973.0,Los Angeles-Long Beach-Anaheim,CA
787,90016,"Los Angeles-Long Beach-Anaheim, CA",2109.0,2881.0,3006.0,Los Angeles-Long Beach-Anaheim,CA
790,91942,"San Diego, CA",1546.0,1832.0,2362.0,San Diego,CA
801,92028,"San Diego, CA",1705.0,2260.0,2876.0,San Diego,CA
802,92129,"San Diego, CA",2153.0,2538.0,3326.0,San Diego,CA
809,94103,"San Francisco, CA",3716.0,3699.0,3336.0,San Francisco,CA
810,91304,"Los Angeles-Long Beach-Anaheim, CA",1619.0,1990.0,2338.0,Los Angeles-Long Beach-Anaheim,CA
812,94114,"San Francisco, CA",3701.0,3767.0,3730.0,San Francisco,CA
813,93551,"Los Angeles-Long Beach-Anaheim, CA",1772.0,2255.0,2958.0,Los Angeles-Long Beach-Anaheim,CA
822,92211,"Riverside, CA",1685.0,2044.0,2818.0,Riverside,CA
827,92870,"Los Angeles-Long Beach-Anaheim, CA",1938.0,2119.0,2795.0,Los Angeles-Long Beach-Anaheim,CA
835,90045,"Los Angeles-Long Beach-Anaheim, CA",2309.0,2694.0,2959.0,Los Angeles-Long Beach-Anaheim,CA
843,94107,"San Francisco, CA",3662.0,3659.0,3397.0,San Francisco,CA
853,92111,"San Diego, CA",1797.0,2150.0,2610.0,San Diego,CA
854,92530,"Riverside, CA",1431.0,1704.0,2268.0,Riverside,CA
864,92392,"Riverside, CA",1318.0,1655.0,2174.0,Riverside,CA
869,91344,"Los Angeles-Long Beach-Anaheim, CA",2670.0,3045.0,3484.0,Los Angeles-Long Beach-Anaheim,CA
870,90278,"Los Angeles-Long Beach-Anaheim, CA",2101.0,2466.0,2775.0,Los Angeles-Long Beach-Anaheim,CA
873,92691,"Los Angeles-Long Beach-Anaheim, CA",2032.0,2232.0,2894.0,Los Angeles-Long Beach-Anaheim,CA
880,92116,"San Diego, CA",1429.0,1799.0,2231.0,San Diego,CA
881,94605,"San Francisco, CA",1711.0,2490.0,2489.0,San Francisco,CA
884,93010,"Ventura, CA",2230.0,2717.0,3079.0,Ventura,CA
886,95037,"San Jose, CA",2548.0,2969.0,3227.0,San Jose,CA
903,92009,"San Diego, CA",2319.0,2676.0,3532.0,San Diego,CA
905,95376,"Stockton, CA",1597.0,2003.0,2454.0,Stockton,CA
907,92672,"Los Angeles-Long Beach-Anaheim, CA",2077.0,2388.0,3004.0,Los Angeles-Long Beach-Anaheim,CA
911,91745,"Los Angeles-Long Beach-Anaheim, CA",2028.0,2229.0,2673.0,Los Angeles-Long Beach-Anaheim,CA
916,92054,"San Diego, CA",1658.0,2026.0,2487.0,San Diego,CA
922,94610,"San Francisco, CA",2331.0,2540.0,2432.0,San Francisco,CA
925,94025,"San Francisco, CA",3781.0,4158.0,4317.0,San Francisco,CA
927,92688,"Los Angeles-Long Beach-Anaheim, CA",1895.0,2157.0,2751.0,Los Angeles-Long Beach-Anaheim,CA
942,92833,"Los Angeles-Long Beach-Anaheim, CA",1983.0,2307.0,2854.0,Los Angeles-Long Beach-Anaheim,CA
947,92127,"San Diego, CA",2275.0,2578.0,3306.0,San Diego,CA
954,91765,"Los Angeles-Long Beach-Anaheim, CA",2271.0,2543.0,2931.0,Los Angeles-Long Beach-Anaheim,CA
970,92660,"Los Angeles-Long Beach-Anaheim, CA",2518.0,2938.0,3716.0,Los Angeles-Long Beach-Anaheim,CA
973,90275,"Los Angeles-Long Beach-Anaheim, CA",3240.0,3596.0,4210.0,Los Angeles-Long Beach-Anaheim,CA
987,93304,"Bakersfield, CA",964.0,1084.0,1443.0,Bakersfield,CA
991,95826,"Sacramento, CA",1295.0,1619.0,2078.0,Sacramento,CA
996,91764,"Riverside, CA",1623.0,1960.0,2569.0,Riverside,CA
1000,95821,"Sacramento, CA",1008.0,1383.0,1740.0,Sacramento,CA
1003,92584,"Riverside, CA",1920.0,2347.0,3169.0,Riverside,CA
1007,90804,"Los Angeles-Long Beach-Anaheim, CA",1314.0,1734.0,2001.0,Los Angeles-Long Beach-Anaheim,CA
1009,91016,"Los Angeles-Long Beach-Anaheim, CA",1813.0,2170.0,2492.0,Los Angeles-Long Beach-Anaheim,CA
1022,91913,"San Diego, CA",2006.0,2283.0,2942.0,San Diego,CA
1050,94608,"San Francisco, CA",2619.0,2804.0,2859.0,San Francisco,CA
1055,92025,"San Diego, CA",1669.0,2132.0,2510.0,San Diego,CA
1060,92069,"San Diego, CA",2093.0,2366.0,3060.0,San Diego,CA
1063,91320,"Ventura, CA",2626.0,2952.0,3623.0,Ventura,CA
1064,90029,"Los Angeles-Long Beach-Anaheim, CA",1672.0,2111.0,2254.0,Los Angeles-Long Beach-Anaheim,CA
1070,91606,"Los Angeles-Long Beach-Anaheim, CA",1462.0,1886.0,2102.0,Los Angeles-Long Beach-Anaheim,CA
1075,92557,"Riverside, CA",1564.0,1953.0,2613.0,Riverside,CA
1076,90291,"Los Angeles-Long Beach-Anaheim, CA",2815.0,3262.0,3510.0,Los Angeles-Long Beach-Anaheim,CA
1078,91423,"Los Angeles-Long Beach-Anaheim, CA",2097.0,2453.0,2718.0,Los Angeles-Long Beach-Anaheim,CA
